,AAPL,AMZN,BIL,BITO,DIA,EEM,EFA,EMB,EUFN,FXF,FXY,GLD,GOOGL,HYG,IEI,IGSB,IJH,IWM,JNK,LQD,META,MSFT,NVDA,QQQ,REM,SHV,SHY,SLV,SMH,SPY,STIP,TLT,UUP,VGK,VNQ,XLF
20220616,130.105,103.66,91.445,12.915,300.04,39.535,61.755,85.475,15.775,92.75,70.915,172.725,2121.535,73.82,117.705,50.235,219.33,163.905,91.135,109.225,160.985,245.115,156.025,271.63,23.98,110.015,82.405,20.23,204.24,366.905,101.76,111.71,27.675,53.23,87.065,30.855
20220617,131.43,106.165,91.445,12.715,298.705,39.695,61.475,85.915,15.745,92.3,69.335,171.265,2141.77,74.115,117.6,50.245,221.19,165.185,91.635,109.445,163.715,247.535,158.775,274.695,24.9,110.02,82.375,19.985,205.505,365.845,101.66,112.21,27.935,53.235,87.705,30.935
20220621,135.865,108.675,91.455,12.945,305.315,40.335,62.415,85.75,16.155,92.645,68.49,170.67,2231.32,74.035,117.36,50.205,224.155,168.145,91.39,108.345,157.045,253.685,165.66,281.18,25.735,110.025,82.345,19.975,211.31,375.065,101.56,110.17,27.865,53.015,88.925,31.395
20220622,135.31,108.92,91.465,12.45,304.56,39.575,61.995,85.845,16.065,93.125,68.725,171.33,2229.115,73.945,118.245,50.265,223.33,167.815,91.36,109.075,155.74,253.025,163.57,280.67,25.985,110.055,82.575,19.755,208.57,374.375,101.71,113.205,27.805,52.66,90.0,31.295
20220623,138.245,112.45,91.465,12.965,306.735,39.735,61.915,86.37,15.745,93.26,69.385,170.26,2245.005,74.535,118.7,50.415,224.7,169.855,92.045,109.99,158.73,258.93,162.245,284.905,26.53,110.065,82.655,19.375,207.6,378.12,101.86,114.195,27.845,52.375,91.195,31.175
20220624,141.81,116.675,91.455,13.17,315.09,40.675,63.775,86.495,16.205,93.475,69.22,170.045,2360.48,75.035,118.515,50.45,232.725,175.065,92.675,110.085,170.165,267.93,171.375,294.98,27.395,110.065,82.635,19.505,216.24,390.065,102.025,112.6,27.775,54.125,93.16,32.365
20220627,141.715,113.235,91.455,12.865,314.395,40.695,63.515,85.325,16.145,93.63,69.105,169.895,2317.025,74.615,118.14,50.345,233.52,175.8,92.195,109.065,169.505,264.925,168.715,292.495,27.305,110.045,82.535,19.485,215.425,388.66,101.705,111.635,27.735,53.995,92.965,32.225
20220628,137.445,107.405,91.465,12.475,309.395,40.465,63.075,84.775,16.035,93.555,68.725,169.635,2240.155,73.775,118.2,50.315,230.125,172.525,90.995,109.065,160.675,256.475,159.825,283.47,27.125,110.055,82.535,19.195,210.085,380.725,101.555,112.135,27.885,53.45,91.86,31.925
20220629,139.245,108.895,91.475,12.49,310.06,40.305,62.825,84.965,15.915,93.745,68.52,169.505,2233.47,73.645,118.705,50.445,228.355,170.685,90.805,109.675,163.925,260.26,155.425,283.885,26.705,110.065,82.635,19.155,206.295,380.37,101.44,113.855,28.045,53.12,91.27,31.715
20220630,136.79,106.305,91.485,11.615,307.925,40.125,62.545,85.29,15.76,93.795,68.955,168.425,2180.49,73.605,119.325,50.545,226.285,169.545,90.76,110.055,161.265,256.925,151.625,280.275,26.755,110.095,82.785,18.655,203.795,377.265,101.415,114.85,27.955,52.84,91.105,31.465
20220701,138.935,109.555,91.425,11.955,310.885,39.855,62.645,86.145,15.765,93.29,69.185,168.275,2174.465,73.975,120.17,50.725,229.06,171.485,91.015,111.11,160.045,259.57,145.205,282.125,27.42,110.025,82.955,18.315,196.005,381.205,101.785,115.875,28.065,52.845,92.775,31.905
20220705,141.59,113.535,91.425,12.615,309.74,39.535,61.315,85.45,15.125,92.485,68.93,164.715,2266.04,73.925,120.335,50.755,228.765,172.84,90.955,111.075,168.22,262.94,149.665,287.035,27.66,110.035,82.935,17.735,197.07,381.955,101.43,116.73,28.445,51.355,92.495,31.785
20220706,142.955,114.385,91.425,12.545,310.415,39.285,61.365,84.755,14.995,92.27,68.885,162.125,2291.435,73.645,119.6,50.595,227.4,171.555,90.635,110.545,169.78,266.24,151.305,288.76,27.16,110.025,82.725,17.695,198.475,383.315,100.885,114.775,28.585,51.445,92.335,31.695
20220707,146.345,116.29,91.425,13.515,313.88,40.115,62.275,84.985,15.315,91.92,68.805,162.255,2375.41,74.835,119.19,50.615,232.195,175.645,92.075,110.52,172.17,268.38,158.615,294.95,27.545,110.035,82.655,17.735,207.555,388.965,100.895,113.8,28.585,52.245,92.575,32.155
20220708,147.035,115.535,91.425,13.465,313.445,40.075,62.365,84.605,15.385,91.69,68.77,162.315,2387.415,74.91,118.79,50.545,231.515,175.585,92.255,110.325,170.875,267.625,158.355,295.38,27.555,110.015,82.555,17.795,208.675,388.68,100.965,112.505,28.565,52.305,92.085,32.095
20220711,144.905,111.79,91.425,12.655,311.765,39.005,61.345,83.885,15.065,91.195,68.11,161.455,2314.055,74.52,119.235,50.515,228.785,172.015,91.77,110.67,162.895,264.565,151.53,288.985,27.26,110.005,82.595,17.585,203.71,384.29,101.005,114.435,28.895,51.46,91.91,31.835
20220712,145.885,109.225,91.425,11.94,310.01,38.855,61.335,83.635,15.065,91.175,68.385,160.845,2281.395,74.775,119.405,50.525,228.36,171.495,92.09,110.795,163.275,253.675,150.825,286.205,27.11,110.005,82.645,17.445,203.61,380.885,100.735,115.03,28.895,51.435,91.57,31.635
20220713,145.46,110.395,91.415,12.125,307.725,38.775,61.295,83.3,14.995,91.47,68.155,161.56,2226.495,74.705,119.42,50.515,227.76,171.325,91.915,111.685,163.425,252.67,151.6,285.635,27.4,109.965,82.535,17.69,205.29,378.865,100.765,116.435,28.835,51.43,91.085,31.325
20220714,148.475,110.615,91.425,12.745,306.385,38.455,60.435,81.875,14.525,91.02,67.365,159.275,2207.945,74.515,119.06,50.465,225.505,169.635,91.64,110.935,158.055,254.06,153.715,286.705,26.87,109.99,82.505,16.985,209.48,377.965,100.735,115.47,29.025,50.565,90.24,30.735
20220715,150.19,113.585,91.425,13.095,312.685,38.665,61.415,82.695,14.735,91.625,67.555,158.975,2235.775,75.465,119.27,50.535,229.875,173.09,92.905,111.805,164.675,256.705,157.625,291.895,27.43,110.015,82.565,17.205,214.76,385.105,101.055,116.135,28.855,51.545,91.805,31.795
